Cod Istat;Wohngemeinde;Comune di residenza;Numero casi al 20-03-2020;Numero casi al 21-03-2020;Numero casi al 22-03-2022;Numero casi al 26-03-2020;Numero casi al 27-03-2020;aumento di casi dal giorno precedente;positives
21103;Taufers im Münstertal;Tubre;0;0;0;0;0;0;0
21104;Ulten;Ultimo;2;2;2;8;8;0;1
21105;Pfatten;Vadena;2;2;2;2;3;1;1
21106;Olang;Valdaora;1;4;6;10;13;3;7
21107;Pfitsch;Val di Vizze;28;30;30;38;40;2;7
21108;Ahrntal;Valle Aurina;1;1;1;17;19;2;4
21109;Gsies;Valle di Casies;2;2;2;8;13;5;2
21110;Vintl;Vandoies;6;6;6;9;12;3;2
21111;Vahrn;Varna;13;13;13;22;22;0;8
21112;Vöran;Verano;0;2;2;1;1;0;0
21113;Niederdorf;Villabassa;0;0;2;4;4;0;13
21114;Villanders;Villandro;0;0;0;0;0;0;1
21115;Sterzing;Vipiteno;22;22;22;40;42;2;16
21116;Feldthurns;Velturno;7;7;7;12;14;2;5
21117;Wengen;La Valle;2;2;2;13;13;0;4
21118;U.L.Frau i.W.-St.Felix;Senale-S.Felice;2;2;2;6;6;0;3
Totale complessivo;0;0;1855;2011;2158;3215;3669;454;1003
